"brand","title","price","url"
"Asics","Zapatos Asics Versablast 2 Mujer","33.22","https://fitpoint.ec/zapatos-asics-versablast-2-mujer-1012b365-003-asi-216.html"
"Asics","Zapatos Asics Gel Sparta 2 Hombre","79.95","https://fitpoint.ec/zapatos-asics-gel-sparta-2-hombre-1011b815-401-asi-401.html"
"Asics","Zapatos Asics Gel Pulse 15 Hombre","86.94","https://fitpoint.ec/zapatos-asics-gel-pulse-15-hombre-1011b780-600-asi-600-01.html"
"Asics","Zapatos Asics Gel Pulse 15 Hombre","86.94","https://fitpoint.ec/zapatos-asics-gel-pulse-15-hombre-1011b780-401-asi-401-05.html"
"Asics","Zapatos Asics Trail Scout 3 Hombre","52.45","https://fitpoint.ec/zapatos-asics-trail-scout-3-hombre-1011b700-401-asi-401-04.html"
"Asics","Zapato Asics Jolt 4 Hombre","49.95","https://fitpoint.ec/zapato-asics-jolt-4-hombre-1011b603-404-asi-404.html"
"Asics","Zapatos Asics Patriot 13 Hombre","49.95","https://fitpoint.ec/zapatos-asics-patriot-13-hombre-1011b485-408-asi-408.html"
"Asics","Zapatos Gel Contend 8 Mujer","54.95","https://fitpoint.ec/zapatos-gel-contend-8-mujer-1012b320-412-asi-412.html"
"Asics","Zapatos Asics Gt-2000 12 French Blue/Foggy Teal Hombre","75.96","https://fitpoint.ec/zapatos-asics-gt-2000-12-french-blue-foggy-teal-hombre-1011b691-401-asi-401-02.html"
"Asics","Zapatos Asics GEL-Excite 10 Black/Bright Yellow Hombre","83.94","https://fitpoint.ec/zapatos-asics-gel-excite-10-black-bright-yellow-hombre-1011b600-008-asi-008.html"
"Asics","Zapatos Gel Contend 8 Hombre","54.95","https://fitpoint.ec/zapatos-gel-contend-8-hombre-1011b492-012-asi-009.html"
"Asics","Zapatos Asics Patriot 13 Black/Electric Lime Hombre","49.95","https://fitpoint.ec/zapatos-asics-patriot-13-black-electric-lime-hombre-1011b485-009-asi-009.html"
"Asics","Camiseta Asics Road SS Top Soft Berry Mujer","27.45","https://fitpoint.ec/camiseta-asics-road-ss-top-soft-berry-mujer-2012c969-500-asi-500-01.html"
"Asics","Camiseta Asics Road SS Top Performance Black Mujer","27.45","https://fitpoint.ec/camiseta-asics-road-ss-top-performance-black-mujer-2012c969-001-asi-235.html"
"Asics","Camiseta Asics Fujitrail Logo SS Top Gris Blue Mujer","17.45","https://fitpoint.ec/camiseta-asics-fujitrail-logo-ss-top-gris-blue-mujer-2012c395-401-asi-401-01.html"
"Asics","Camiseta Asics Fujitrail Logo SS Top Black Mujer","17.45","https://fitpoint.ec/camiseta-asics-fujitrail-logo-ss-top-black-mujer-2012c395-002-asi-237.html"
"Asics","Buzo Asics Silver Jacket Performance Black Mujer","29.95","https://fitpoint.ec/buzo-asics-silver-jacket-performance-black-mujer-2012b896-001-asi-235.html"
"Asics","Short Asics Silver 4In Short Blue Expanse Mujer","17.45","https://fitpoint.ec/short-asics-silver-4in-short-blue-expanse-mujer-2012b890-402-asi-402-03.html"
"Asics","Short Asics Road 2 N 1 5IN Short Denim Blue/Denim Blue Hombre","29.95","https://fitpoint.ec/short-asics-road-2-n-1-5in-short-denim-blue-denim-blue-hombre-2011c388-401-asi-401-03.html"
"Asics","Short Asics Road 2 N 1 5IN Short Performance Black Hombre","29.95","https://fitpoint.ec/short-asics-road-2-n-1-5in-short-performance-black-hombre-2011c388-002-asi-235.html"
"Asics","Camiseta Asics Fujitrail Logo SS Top Neon Lime/Br.Orange/Performance Black Hombre","17.45","https://fitpoint.ec/camiseta-asics-fujitrail-logo-ss-top-neon-lime-br-orange-performance-black-hombre-2011c381-301-asi-301-01.html"
"Asics","Zapatos Asics Tiger Runner ll Black Hombre","41.96","https://fitpoint.ec/zapatos-asics-tiger-runner-ll-black-hombre-1201a792-001-asi-201.html"
"Asics","Zapatos Asics Japan PF White/Salmon Mujer","47.96","https://fitpoint.ec/zapatos-asics-japan-pf-white-salmon-mujer-1202a406-105-asi-233.html"
"Asics","Zapatos Asics Japan PF White/Peacoat Mujer","45.96","https://fitpoint.ec/zapatos-asics-japan-pf-white-peacoat-mujer-1202a024-108-asi-226.html"
"Asics","Zapatos Asics GEL-Takumi Dive Blue/Soft Sky Mujer","40.22","https://fitpoint.ec/zapatos-asics-gel-takumi-dive-blue-soft-sky-mujer-1202a314-021-asi-134.html"
"Asics","Zapatos Asics GEL-Takumi Brilliant White/Mist Mujer","41.96","https://fitpoint.ec/zapatos-asics-gel-takumi-brilliant-white-mist-mujer-1202a314-101-asi-133.html"
"Asics","Zapatos Asics Tiger Runner White/Rose Gold Mujer","35.96","https://fitpoint.ec/zapatos-asics-tiger-runner-white-rose-gold-mujer-1202a311-100-asi-031.html"
"Asics","Zapatos Asics Tiger Runner Peacoat/White Mujer","35.96","https://fitpoint.ec/zapatos-asics-tiger-runner-peacoat-white-mujer-1202a174-401-asi-090.html"
"Asics","Zapatos Asics GEL-Kamo Magnetic Blue/White Hombre","42.45","https://fitpoint.ec/zapatos-asics-gel-kamo-magnetic-blue-white-hombre-1021a427-402-asi-093.html"
"Asics","Zapatos Asics GEL-Electrus Black/White Hombre","41.96","https://fitpoint.ec/zapatos-asics-gel-electrus-black-white-hombre-1011b651-002-asi-020.html"
